epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,39.0806,1.63988,2.92689,1.95697,0.13898,0.42857,0.18956,0.08279,2.35052,20.6215,2.67281,0.000656566,0.000656566,0.000656566
2,75.3647,2.47843,5.63816,2.57584,0.00176,0.38776,0.00129,0.00044,2.92651,40.3789,3.38991,0.00119223,0.00119223,0.00119223
3,111.052,2.40051,3.55584,2.67328,0.00658,0.08163,0.002,0.00033,4.15714,77.2741,9.67652,0.0015959,0.0015959,0.0015959
4,147.406,2.35863,3.63224,2.76122,0.20781,0.10204,0.09137,0.02614,1.89754,3.16861,3.14101,0.001406,0.001406,0.001406
5,183.126,2.17387,3.30344,2.59332,0.1073,0.22449,0.06099,0.02288,2.37381,5.97692,3.06114,0.001208,0.001208,0.001208
6,218.982,2.24776,3.59669,2.72688,0.17495,0.02041,0.03302,0.01055,2.11604,7.34453,2.87817,0.00101,0.00101,0.00101
7,254.651,2.03967,3.03402,2.62274,0.07564,0.20408,0.07973,0.02796,2.01883,11.9088,3.72773,0.000812,0.000812,0.000812
8,290.57,1.97727,2.73079,2.46598,0.21507,0.16327,0.19243,0.07976,1.94469,2.45242,2.5106,0.000614,0.000614,0.000614
9,326.414,1.96933,2.58623,2.40259,0.41713,0.57143,0.48355,0.19208,1.80702,2.17361,2.3745,0.000416,0.000416,0.000416
10,365.842,2.00227,2.38939,2.43487,0.41907,0.67347,0.55157,0.25643,1.77108,2.01148,2.38365,0.000218,0.000218,0.000218
