epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,42.9685,1.02309,1.18225,1.51189,0.92958,0.42581,0.54561,0.29425,1.30241,5.18024,2.07455,0.000663477,0.000663477,0.000663477
2,82.1318,1.07074,1.00242,1.53206,0.49476,0.45806,0.40012,0.22463,1.50551,2.38262,2.16159,0.00130381,0.00130381,0.00130381
3,120.033,1.06624,0.99916,1.5142,0.7847,0.60645,0.63298,0.46884,1.31025,2.11279,1.88829,0.00191774,0.00191774,0.00191774
4,157.606,1.01743,0.92455,1.47665,0.91562,0.65806,0.74349,0.539,1.11416,0.96751,1.77569,0.0018812,0.0018812,0.0018812
5,195.696,0.97003,0.86935,1.44128,0.84793,0.60645,0.69312,0.51559,1.20667,1.26165,1.73076,0.0018416,0.0018416,0.0018416
6,234.675,0.97826,0.83767,1.45042,0.77108,0.65192,0.69776,0.47956,1.16658,1.09837,1.72915,0.001802,0.001802,0.001802
7,273.723,0.92859,0.77872,1.40541,0.86739,0.65806,0.74867,0.60038,0.89165,0.85621,1.56259,0.0017624,0.0017624,0.0017624
8,313.299,0.8915,0.74291,1.36589,0.88199,0.66452,0.76954,0.60266,0.92509,0.78253,1.52226,0.0017228,0.0017228,0.0017228
9,351.709,0.8758,0.71748,1.36207,0.83646,0.72258,0.78273,0.62898,0.88239,0.81775,1.49404,0.0016832,0.0016832,0.0016832
10,390.403,0.84596,0.69054,1.32908,0.91587,0.63871,0.77173,0.59303,0.9705,0.86986,1.50344,0.0016436,0.0016436,0.0016436
11,428.795,0.81006,0.66811,1.30991,0.8943,0.68387,0.77845,0.6471,0.73038,0.74097,1.27779,0.001604,0.001604,0.001604
12,466.94,0.81897,0.64328,1.32696,0.88758,0.71316,0.81689,0.66798,0.80661,0.6729,1.40151,0.0015644,0.0015644,0.0015644
13,504.909,0.79284,0.63076,1.29858,0.92542,0.64048,0.7702,0.64108,0.76548,0.83393,1.36504,0.0015248,0.0015248,0.0015248
14,544.03,0.79842,0.64022,1.30133,0.93092,0.69559,0.82587,0.68638,0.76928,0.67948,1.33836,0.0014852,0.0014852,0.0014852
15,581.723,0.77769,0.63406,1.28611,0.86924,0.72911,0.84314,0.6936,0.7836,0.68185,1.39272,0.0014456,0.0014456,0.0014456
16,619.231,0.7544,0.59083,1.26248,0.88809,0.70323,0.83135,0.68584,0.6983,0.62042,1.309,0.001406,0.001406,0.001406
17,656.622,0.75177,0.59086,1.26951,0.9038,0.69032,0.80591,0.63726,0.78246,0.7535,1.41199,0.0013664,0.0013664,0.0013664
18,694.573,0.72849,0.57385,1.25033,0.89644,0.69677,0.81145,0.66797,0.78872,0.72969,1.34254,0.0013268,0.0013268,0.0013268
19,732.836,0.73273,0.58733,1.25055,0.91764,0.71613,0.83282,0.68887,0.72017,0.61758,1.30624,0.0012872,0.0012872,0.0012872
20,771.931,0.71099,0.56327,1.24645,0.89736,0.69032,0.82239,0.67753,0.77308,0.65928,1.34058,0.0012476,0.0012476,0.0012476
21,809.416,0.72252,0.55003,1.24651,0.88895,0.723,0.82947,0.69683,0.69461,0.63873,1.29028,0.001208,0.001208,0.001208
22,847.202,0.70773,0.53734,1.24915,0.96877,0.71613,0.86373,0.7018,0.75456,0.59317,1.38859,0.0011684,0.0011684,0.0011684
23,884.661,0.71489,0.56309,1.24904,0.93409,0.73548,0.8578,0.68682,0.72043,0.58943,1.34485,0.0011288,0.0011288,0.0011288
24,922.83,0.68359,0.54385,1.21701,0.86766,0.76129,0.86395,0.73241,0.6712,0.56029,1.23017,0.0010892,0.0010892,0.0010892
25,960.957,0.68847,0.53505,1.22187,0.93582,0.74194,0.87428,0.74316,0.62989,0.55875,1.18883,0.0010496,0.0010496,0.0010496
26,998.397,0.66651,0.50463,1.19744,0.85676,0.77419,0.85462,0.70577,0.66981,0.57675,1.238,0.00101,0.00101,0.00101
27,1035.51,0.66225,0.49688,1.18841,0.87561,0.81749,0.89213,0.75112,0.63727,0.48222,1.20975,0.0009704,0.0009704,0.0009704
28,1073.65,0.63397,0.46823,1.17797,0.87602,0.77496,0.87844,0.73352,0.6304,0.5083,1.19048,0.0009308,0.0009308,0.0009308
29,1111.84,0.63476,0.48653,1.16833,0.9027,0.7871,0.89283,0.74821,0.62599,0.50111,1.18753,0.0008912,0.0008912,0.0008912
30,1148.62,0.6351,0.47609,1.16583,0.8946,0.8,0.89305,0.75978,0.64257,0.51451,1.22446,0.0008516,0.0008516,0.0008516
31,1186.47,0.62576,0.45351,1.15963,0.90473,0.79652,0.89697,0.77855,0.60055,0.48483,1.13451,0.000812,0.000812,0.000812
32,1222.74,0.61116,0.45873,1.15271,0.88646,0.82581,0.90697,0.78031,0.67737,0.46698,1.20557,0.0007724,0.0007724,0.0007724
33,1258.73,0.6211,0.45834,1.15629,0.8778,0.88056,0.91355,0.75696,0.69851,0.49583,1.26705,0.0007328,0.0007328,0.0007328
34,1296.21,0.60145,0.43466,1.15435,0.8549,0.87425,0.91568,0.77329,0.64478,0.48096,1.21716,0.0006932,0.0006932,0.0006932
35,1332.9,0.58621,0.44195,1.14376,0.9775,0.75484,0.90827,0.7807,0.57507,0.41857,1.15264,0.0006536,0.0006536,0.0006536
36,1369.14,0.60619,0.43646,1.14045,0.90457,0.77419,0.9062,0.78374,0.59169,0.49415,1.13451,0.000614,0.000614,0.000614
37,1407.64,0.59321,0.42409,1.12543,0.84301,0.86609,0.91107,0.79998,0.56965,0.48989,1.10849,0.0005744,0.0005744,0.0005744
38,1448.69,0.59124,0.42375,1.13615,0.92305,0.84516,0.9263,0.81273,0.57172,0.40872,1.13123,0.0005348,0.0005348,0.0005348
39,1487.69,0.57437,0.40544,1.12976,0.90346,0.84516,0.92437,0.78488,0.61618,0.44163,1.1607,0.0004952,0.0004952,0.0004952
40,1524.3,0.57263,0.41154,1.11825,0.86837,0.85806,0.91408,0.78798,0.62607,0.46746,1.19568,0.0004556,0.0004556,0.0004556
41,1560,0.51176,0.33987,1.06569,0.901,0.88387,0.92981,0.80897,0.59593,0.43311,1.16387,0.000416,0.000416,0.000416
42,1595.18,0.50118,0.31761,1.06705,0.9076,0.82383,0.91302,0.78693,0.599,0.42854,1.19184,0.0003764,0.0003764,0.0003764
43,1629.86,0.48717,0.30863,1.06175,0.94157,0.83169,0.9189,0.79309,0.55915,0.4011,1.11335,0.0003368,0.0003368,0.0003368
44,1666.69,0.47855,0.29819,1.04164,0.90472,0.85767,0.9262,0.80662,0.5571,0.40053,1.13139,0.0002972,0.0002972,0.0002972
45,1701.6,0.46341,0.28832,1.026,0.95168,0.85161,0.92322,0.81619,0.50738,0.38944,1.06176,0.0002576,0.0002576,0.0002576
46,1736.62,0.45181,0.28579,1.02982,0.94267,0.84874,0.93118,0.8186,0.55061,0.39844,1.10455,0.000218,0.000218,0.000218
47,1775.02,0.44847,0.27727,1.02015,0.8814,0.89032,0.93261,0.81169,0.54949,0.38999,1.1089,0.0001784,0.0001784,0.0001784
48,1814.39,0.44542,0.2729,1.01724,0.91866,0.85806,0.92099,0.81243,0.56617,0.40275,1.13767,0.0001388,0.0001388,0.0001388
49,1853.03,0.4285,0.25665,1.01262,0.91381,0.88918,0.93208,0.82088,0.55653,0.38954,1.10978,9.92e-05,9.92e-05,9.92e-05
50,1889.05,0.42717,0.26229,0.99862,0.92847,0.85161,0.92367,0.81232,0.57538,0.39578,1.13017,5.96e-05,5.96e-05,5.96e-05
